"filename", "language", "JSON with Comments", "JSON", "JavaScript", "Markdown", "Vue", "XML", "HTML", "comment", "blank", "total"
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\allImportStudent\index.vue", "Vue", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\index.vue", "Vue", 0, 0, 0, 0, 35, 0, 0, 10, 3, 48
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\menu\index.vue", "Vue", 0, 0, 0, 0, 86, 0, 0, 0, 5, 91
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\pages\index.vue", "Vue", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\updataStudent\index.vue", "Vue", 0, 0, 0, 0, 180, 0, 0, 0, 2, 182
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\updataTeach\index.vue", "Vue", 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\70420\Desktop\vue_select_class\src\views\log\index.vue", "Vue", 0, 0, 0, 0, 135, 0, 0, 2, 13, 150
"c:\Users\70420\Desktop\vue_select_class\src\views\student\classInfo\index.vue", "Vue", 0, 0, 0, 0, 95, 0, 0, 0, 7, 102
"c:\Users\70420\Desktop\vue_select_class\src\views\student\index.vue", "Vue", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\70420\Desktop\vue_select_class\src\views\student\selectClass\index.vue", "Vue", 0, 0, 0, 0, 98, 0, 0, 0, 7, 105
"c:\Users\70420\Desktop\vue_select_class\src\views\teach\addGrade\index.vue", "Vue", 0, 0, 0, 0, 227, 0, 0, 5, 4, 236
"c:\Users\70420\Desktop\vue_select_class\src\views\teach\index.vue", "Vue", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\70420\Desktop\vue_select_class\src\views\teach\selectNumber\index.vue", "Vue", 0, 0, 0, 0, 169, 0, 0, 0, 4, 173
"c:\Users\70420\Desktop\vue_select_class\vue.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"Total", "-", 8, 10794, 260, 15, 1599, 6, 16, 35, 159, 12892
