"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "Java", "Vue", "XML", "HTML", "comment", "blank", "total"
"c:\Users\70420\Desktop\vue_select_class\src\views\teach\index.vue", "Vue", 0, 0, 0, 0, 0, -9, 0, 0, 0, -4, -13
"c:\Users\70420\Desktop\vue_select_class\src\views\teach\selectNumber\index.vue", "Vue", 0, 0, 0, 0, 0, -169, 0, 0, 0, -4, -173
"c:\Users\70420\Desktop\vue_select_class\vue.config.js", "JavaScript", -17, 0, 0, 0, 0, 0, 0, 0, -1, -3, -21
"c:\Users\jiang\Desktop\vue_select_class\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\jiang\Desktop\vue_select_class\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\jiang\Desktop\vue_select_class\day01.java", "Java", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\jiang\Desktop\vue_select_class\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 12, 0, 20
"c:\Users\jiang\Desktop\vue_select_class\package-lock.json", "JSON", 0, 0, 0, 10823, 0, 0, 0, 0, 0, 1, 10824
"c:\Users\jiang\Desktop\vue_select_class\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\jiang\Desktop\vue_select_class\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\jiang\Desktop\vue_select_class\src\App.vue", "Vue", 0, 0, 0, 0, 0, 59, 0, 0, 4, 14, 77
"c:\Users\jiang\Desktop\vue_select_class\src\api\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 22, 26, 72
"c:\Users\jiang\Desktop\vue_select_class\src\api\log.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\jiang\Desktop\vue_select_class\src\api\request.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 5, 12, 37
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\个人中心.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\成绩.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\新增人数.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\详情.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\退出登录.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jiang\Desktop\vue_select_class\src\components\loghead\img\选课.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
